X,Y,OBJECTID,Intersecti,UPS,Coord_Type,CNTRL_Seri,CNTRL_Mode,Number_of_,Detection_,Interconne,Percent_St,Year_Timed,LED_Status,CNTRL_Vers,Cabinet_Ty,CNTRL_Note,Install_Da,Black_Hard,Year_Paint,Countdown_,All_Red_Fl,Condition,ConditionDate,InstallDate,WarrantyDate,LegacyID,FACILITYID,Ownership,OwnershipPercent,LED_Installed_Year,Controller_ID,Notes,RepairYear,FieldVerifiedDate
-88.25778481082,40.1101489241322,183,PROSPECT/GREEN,Alpha FXM 1100,,,,,None,Radio,,,,,,,,,,Yes,,,,,,,72,Champaign,,,,,,
-88.2576194794676,40.0981576987591,184,PROSPECT/KIRBY,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,No,,,,,,,73,,,,,,,
-88.2466742267328,40.0981108401563,185,STATE/KIRBY,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,No,,,,,,,74,Champaign,,,,,,
-88.2446076336494,40.0981092756291,186,NEIL/KIRBY,Novus 1800,,,,,Loop/Video,Fiber/Radio,,,,,,,,,,Yes,,,,,,,75,IDOT,50,,,,,
-88.2438107067025,40.1026935045999,187,NEIL/HESSEL,Alpha FXM 1100,,,,,Loop/Video,Fiber,,,,,,,,,,No,,,,,,,76,IDOT,50,,,,,
-88.2434436688605,40.1101582751955,188,NEIL/GREEN,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,77,IDOT,50,,,,,
-88.2451023380284,40.1101595505802,189,RANDOLPH/GREEN,Pulsar EX 15,,,,,Loop/None,Fiber,,,,,,,,,,No,,,,,,,78,Champaign,,,,,,
-88.2467609836337,40.1101803952959,190,STATE/GREEN,Pulsar EX 15,,,,,Loop/None,Fiber,,,,,,,,,,No,,,,,,,79,Champaign,,,,,,
-88.2414440116207,40.0980676228811,191,OAK/KIRBY,None,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,80,UIUC,,,,,,
-88.2385610434857,40.0980261127933,192,FIRST/KIRBY,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,81,Champaign,,,,,,
-88.2333306686463,40.0981000887978,193,FOURTH/KIRBY,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,82,Champaign,,,,,,
-88.238671666854,40.110252439838,194,FIRST/GREEN,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,,,,,,,,83,,,,,,,
-88.2335169961783,40.1102677054192,195,FOURTH/GREEN,Alpha FXM 1100,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,84,,,,,,,
-88.2304037368662,40.1103041677161,196,SIXTH/GREEN,Tripp Lite,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,85,,,,,,,
-88.2288726238156,40.1103223900488,197,WRIGHT/GREEN,Tripp Lite,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,86,,,,,,,
-88.2303545321128,40.1090893381597,198,SIXTH/JOHN,Tripp Lite,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,87,,,,,,,
-88.2334183641556,40.1079164235633,199,FOURTH/DANIEL,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,Yes,,,,,,,88,Champaign,,,,,,
-88.2451736082571,40.0944849374364,200,NEIL/STMARY,None,,,,,Loop/Video,Fiber,,,,,,,,,,No,,,,,,,89,IDOT,50,,,,,
-88.2460215175708,40.0897831710279,201,NEIL/DEVONSHIRE,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,90,IDOT,67,,,,,
-88.2466382418816,40.0862568254646,202,NEIL/KNOLLWOOD,None,,,,,Loop/Video,Fiber,,,,,,,,,,Yes,,,,,,,91,IDOT,,,,,,
-88.2469732765374,40.0835531870235,203,NEIL/WINDSOR,Alpha FXM 1100,,,,,Loop/Video,Fiber/Radio,,,,,,,,,,Yes,,,,,,,92,IDOT,50,,,,,
-88.2575590837187,40.0835997822493,204,PROSPECT/WINDSOR,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,No,,,,,,,93,,,,,,,
-88.2383517416892,40.0834092856911,205,FIRST/WINDSOR,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,94,Champaign,,,,,,
-88.2624565973878,40.0836420686165,206,GALEN/WINDSOR,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,95,Champaign,,,,,,
-88.2763584710953,40.0837085205516,207,MATTIS/WINDSOR,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,No,,,,,,,96,,,,,,,
-88.295157845621,40.0839513621863,208,DUNCAN/WINDSOR,Novus II 1000,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,97,Champaign,,,,,,
-88.2950384489588,40.0694130015547,209,DUNCAN/CURTIS,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,Yes,,,,,,,98,Champaign,,,,,,
-88.2448868395813,40.1399817048796,210,NEIL/CENTER,Tripp Lite,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,99,,,,,,,
-88.2436906808223,40.1379214942313,211,NEIL/MARKETVIEW,Alpha FXM 2000,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,100,,,,,,,
-88.2391443914008,40.1493595961181,212,MARKET/MERCURY,None,,,,,Loop/Video,None,,,,,,,,,,No,,,,,,,101,Champaign,,,,,,
-88.2565153989346,40.1315843987446,213,HOMEDEPOT/BLOOMINGTON,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,102,,,,,,,
-88.2817789259818,40.118493705272,214,COUNTRYFAIR/CHURCH,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,103,IDOT,50,,,,,
-88.2817001622657,40.1165011048975,215,COUNTRYFAIR/UNIVERSITY,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,104,IDOT,50,,,,,
-88.2769412130522,40.1224209414952,216,MATTIS/SPRINGER,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,105,IDOT,,,,,,
-88.2579545517007,40.1394961903473,217,PROSPECT/LOWES,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,106,,,,,,,
-88.2506246080346,40.1420276758154,218,MORELAND/TOWNCENTER,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,117,,,,,,,
-88.2761108806008,40.069353189309,219,MATTIS/CURTIS,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,Yes,,,,,,,113,Champaign,,,,,,
-88.2336659597637,40.083496508887,220,FOURTH/WINDSOR,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,110,,,,,,,
-88.2393190325823,40.1567217692698,221,MARKET/OLYMPIAN,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,No Ped Signal,,,,,,,116,,,,,,,
-88.2335265422804,40.1144289362788,222,FOURTH/WHITE,None,,,,,Video,None,,,,,,,,,,,,,,,,,109,,,,,,,
-88.24309097336,40.1153060642158,223,WALNUT/LOGAN,None,,,,,None,,,,,,,,,,,,,,,,,,115,,,,,None,,
-88.2435125126796,40.1153279015035,224,NEIL/CLARK,None,,,,,None,,,,,,,,,,,,,,,,,,112,,,,,None,,
-88.313942308981,40.0732937635054,512,STALEY/HEALTHCAREWAY,,,,,,Video,,,,,,,,,,,,,,,,,,118,,,,,,,
-88.3101348358567,40.0695222189064,513,FIELDSSOUTH/CURTIS,,,,,,Video,,,,,,,,,,,,,,,,,,114,,,,,,,
-88.3062882860919,40.0694956231532,912,CURTIS/I-57S,,,,,,,Fiber,,,,,,,,,,,,,,,,,,,,,,,,
-88.3014243054494,40.0694618088488,913,CURTIS/I-57N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
